"i";"j";"p";"v";"p_int_lb";"p_int_ub"
0;0;1;0;0;1
1;0;0.513333333333334;-1;0;0.5133333333
1;2;0.459999999999997;1;0.5133333333;0.9733333333
1;3;0.0266666666666684;2;0.9733333333;1
2;0;0.165608346861048;-2;0;0.1656083469
2;2;0.546349918833711;0;0.1656083469;0.7119582657
2;3;0.244866774888386;1;0.7119582657;0.9568250406
2;4;0.043174959416855;2;0.9568250406;1
3;2;0.420784681404797;-1;0;0.4207846814
3;3;0.277645955785609;0;0.4207846814;0.6984306372
3;4;0.182354044214391;1;0.6984306372;0.8807846814
3;5;0.119215318595203;2;0.8807846814;1
4;2;0.0739466779323054;-2;0;0.0739466779
4;3;0.244213288270854;-1;0.0739466779;0.3181599662
4;4;0.363680067593605;0;0.3181599662;0.6818400338
4;5;0.244213288271006;1;0.6818400338;0.9260533221
4;6;0.0739466779322297;2;0.9260533221;1
